#1.2											
17256	10										
NAME	Description	s516	s518	s519	s520	s521	s522	s523	s525	s526	s527
APBB2	APBB2	5.54845835608374	5.8203658726189	5.54225977402113	6.624135588677	5.69144610285473	7.1178360013235	5.96866477196855	5.9949702087928	5.79050958238292	6.56971540850331
KLHL13	KLHL13	4.13842540012345	5.74058956311385	4.96369225204241	5.33133876997973	4.93584756264038	5.57239642458375	8.05659025551822	4.35168994933235	4.60626354940282	4.19053319835063
PRO0478	PRO0478	4.31798113352406	4.45688565627941	4.25924630592151	4.22885449913249	4.45596353532047	4.09024586950457	4.24937853431604	4.57084114136302	4.40020636105024	4.23780295245951
PDCL3	PDCL3	8.6725966939596	8.57888492109844	7.95093681083663	8.34810961002343	8.82251082969436	8.46564561487613	8.4834753229001	8.34455219327664	8.34252179387614	8.68526840504263
DECR1	DECR1	9.85686060917616	9.11750486963243	9.12677803400847	9.9596356081036	8.63038111995552	9.7490838764659	9.58405689987701	9.2853437964958	8.86451527452085	8.70337873706494
SALL1	SALL1	2.93003624489678	2.91317850071486	2.97967106578626	3.04287303283055	2.97067686289286	6.39708142813584	7.71546351846908	2.96330278380202	3.02306446558418	3.68761254240408
CADM4	CADM4	5.05280715618494	5.21145537855891	5.70827352004442	4.51931110807609	4.71386924263033	4.56368308307604	5.44661373278859	5.13942082507935	5.09198088592372	5.27271805094668
SLC10A7	SLC10A7	4.11430408348945	4.01922149433936	4.10846272116314	4.22137161350065	4.45545415457592	4.10337762183593	4.5459540355759	4.20024099692745	4.58302892314746	4.25864237026585
CFHR5	CFHR5	3.33872074335636	3.39048754669055	3.45381129913554	3.36443646942949	3.43990226454957	3.15823893084577	3.28881398626569	3.26204206869941	3.27238503220909	3.53500501495915
HNRPD	HNRPD	9.67457968019604	9.18886090810172	9.2887510559427	9.49683037708407	9.85521571222822	9.19775767311381	9.87057468189152	9.29443074484552	9.22546856257206	9.67803817462093
OR2K2	OR2K2	4.24416259372781	4.4527213468998	4.24751599984459	3.97797467529372	4.31956297808179	3.86955590985887	3.94761090015308	4.30512366014449	3.89028506121941	4.32000087771107
LMAN1	LMAN1	5.01571075115108	5.26332666074507	5.37317873066701	4.82766561762604	5.27264416415587	4.75723454377592	4.7438896557445	4.78832006351234	5.38148921940032	5.34982383519258
SUHW1	SUHW1	4.37871264373773	4.61268956449472	4.54657363518793	4.67371408303132	4.13426571253559	4.42744444120572	4.92537071215162	4.65724843997518	4.71488744339605	4.86618338595349
CHD8	CHD8	7.80278849188883	8.11258506480837	7.29677284770583	7.61948051018023	7.40572201656026	7.69551250414263	7.88840232013704	7.46679541457854	7.54113573729399	8.15716094356456
SUMO1	SUMO1	9.31712122955662	8.99695165695206	8.70144142060647	8.57515985597054	9.24507768167855	8.87681658387219	9.2508246283772	8.83854524316882	9.1799830240551	8.92742832101284
GP1BA	GP1BA	4.95374140558961	4.98626591132392	4.8265187150443	5.10761602267083	4.73419442648198	4.49707313678122	4.8845771925652	5.06744962465696	4.72674493839461	5.08420355103188
DDB1	DDB1	9.23362786791015	9.15595820394367	8.3334143046773	8.93128820840434	9.62914146937613	9.01682919637562	9.5202376375071	8.81217015530367	9.39346626796197	9.33059948928076
MYO9B	MYO9B	6.23752479457403	6.25221324909021	6.55905973042274	6.35444821539843	6.29505282728997	6.57127213662483	6.68988006229179	6.71826152582307	6.80714302387106	6.35237485763584
MMP7	MMP7	10.2169087879596	9.53424968027	6.58259579907832	12.5914804584344	12.9185617443498	11.3079106353406	8.12322864918251	12.492215544363	12.3191154335596	5.47140432646049
CRNKL1	CRNKL1	8.54996041502184	8.0228489878607	8.13140217293628	7.94922435569303	9.14194044428326	8.18527819177408	8.509393502504	8.47578512531974	8.28354594091333	8.81579009023578
C9orf45	C9orf45	5.63840144281758	5.47732274160463	6.21766607361234	5.30856734426925	5.27509606638475	5.69161350690678	5.7574854374063	5.45429138558342	5.39599100837656	5.78301040265356
XAB2	XAB2	5.82364440237737	5.87170872134052	5.54335024718439	5.36499183534375	6.26398449771438	5.31801272671604	5.3298859641885	5.61250206050054	5.6009755800397	6.02109773641733
RTN1	RTN1	5.11015016732949	5.63447075177625	5.47656761092872	7.61269799991442	4.96898013695715	6.12171957513194	4.44479791329515	6.55301260055009	7.13457046018717	6.42331894210994
KLHL14	KLHL14	6.68282789064268	6.58019702538023	7.40165700348503	6.35112323601524	6.85723527543176	6.55542571799619	6.28605994223957	7.0998567867485	6.81586541718723	7.11039393767535
TBX10	TBX10	5.0895751026179	5.23776838620163	5.30950952158123	5.1254694399735	5.15560838034799	4.95485994418746	5.04869173934109	5.11084743210795	4.97082314640156	5.25322526774871
ZBTB12	ZBTB12	5.13849789736956	5.00880438895065	5.29975427599456	5.01186653726091	5.10924195943856	4.70546586394275	4.93409647973803	5.11422924795719	5.04208783448952	5.18229720154457
CENPQ	CENPQ	7.26155336254868	5.95899088902478	5.00909426776052	5.82385777720686	6.5532690607485	6.07413084382174	6.71433702918915	6.55932573871604	5.83595815435787	6.45173569915227
UTY	UTY	4.29989468486263	4.26584178311124	4.17071727991162	4.01682103692326	4.30481669570989	4.26082236117388	4.19366762529002	4.18079437954158	4.1482728385077	4.33954612637445
DTNBP1	DTNBP1	7.17564091492055	6.84053342269407	7.43523188966502	7.06886977369747	6.79699789277541	6.39288455921137	7.30727558802847	7.07407562412175	7.50275618755991	7.11588266907287
KBTBD8	KBTBD8	5.0964251465724	4.30229307601747	4.33804197397829	5.41267191735817	4.66131861605999	4.98795683512427	4.26795779855609	4.92394935965993	5.93547118629233	5.76332970131302
ZEB1	ZEB1	5.54555829948049	5.09495426459866	5.67028669442754	7.71829581326283	4.95139349006659	6.7930016309572	6.8905271194062	6.4649148740317	5.78216609301039	4.84909885617957
ZG16	ZG16	4.90557779379282	5.10668816895422	5.12746888485565	4.64621380927619	4.8394916688444	4.58720822123442	4.72161960073421	5.05878515703931	4.94195009050736	4.97684630918956
MIER1	MIER1	6.42381402534647	6.45072131645401	6.01460216401733	6.25551949084101	6.50788257168136	6.08127212284476	5.66058385887908	6.04925048141479	6.40915666460725	5.91171015816452
ADAM5P	ADAM5P	4.39280413346909	4.54364760249536	4.52864213225609	4.213152734451	4.22465840409493	4.27840323208825	4.14226289865021	4.58638776195606	4.35414874401552	4.35927449377924
CHD9	CHD9	8.84673444119442	8.64084563835607	8.42753011992126	8.51893848125862	8.3635472786388	8.41171940885806	8.86538232900084	9.10514553539626	8.79585506757488	8.58275863774914
STK16	STK16	7.06214432118932	7.3287153252998	7.8394784054847	7.39768142146617	8.04422400285265	7.04807555888685	6.52116680793687	7.12653465351724	7.75933933396922	7.30555497053486
KIAA1486	KIAA1486	3.89832478756225	3.70577358500491	4.0390150766576	3.63638565721996	3.8398211953483	3.87740537391176	3.84796113372007	3.96504672260716	3.93095863124839	3.80274077481909
TOB2	TOB2	7.82759894755246	7.44256604933052	7.05827072972409	7.50992610334366	7.56260752721535	7.42181713804009	7.05874354726629	7.83772339523301	8.28890225303294	7.95034159439868
BANK1	BANK1	4.53949442302622	6.50631884145637	4.93238355195433	7.14495862574815	6.75406266693262	5.12829425950667	4.20485393762808	6.96127136514073	6.71556217928701	5.97461773248803
GRM2	GRM2	5.4161103150338	5.29608119156644	5.56565692231961	5.10545761509526	5.19057449100285	5.2244523340944	5.43127416542782	5.53556811238337	5.34984056906053	5.31941950880127
PROSC	PROSC	8.7000968762964	8.11660968869444	8.4594517561017	8.43752452046395	9.22447618084331	8.10931880786929	8.39346508959062	8.08792198209236	8.05439018779384	8.55112760285182
PIR	PIR	6.81970539363116	7.55366327353483	7.6051280460357	6.77332194725187	6.6776547008744	7.60963202112079	7.9012562795585	8.02923211773707	7.18757785724754	6.03121522994432
IPO9	IPO9	6.84090851196976	6.69352736870213	6.71653910175648	6.51434830518828	6.73597201790418	6.32611344161937	6.8872833777823	7.00060937779945	6.61991311047117	6.03140556635458
EVC	EVC	6.33083182858458	6.14864988906527	6.16582078429293	6.20781806479684	6.33981222565763	6.18492708570907	6.35522445281994	6.52971542424052	6.18124220528374	6.17253295728045
CXCL13	CXCL13	5.54228244895333	4.5863663424642	4.38230105570435	10.1454231549777	3.82107443097732	6.24659868869949	3.20973237817408	8.26380803430962	6.83160269597653	7.6621362528317
KIAA1199	KIAA1199	5.49262850673542	5.68417427547485	6.94638311258755	6.5880768383444	6.98766527938914	6.7473897887113	5.39586200055633	6.30151824348051	6.0894160507097	5.23807945271176
SORL1	SORL1	9.6144487999736	8.79744938646958	9.73303829240324	9.29422669049477	10.4764318901756	9.49013352957835	11.4161337730245	11.0279916875107	11.5312578210741	9.53080934581062
NAT10	NAT10	9.11386693189422	7.82416670668887	7.557727316987	7.8628495822097	9.35550555430846	7.82555490678322	8.39690027120856	8.03629218857165	8.75673354164948	9.04264513220189
CHD1	CHD1	8.81616199714733	7.51219225925316	8.05253488465372	8.11106751746732	8.16069546350132	7.81045356937443	8.18820035489334	7.81873195116808	8.48305185678298	7.95769837212757
SYN3	SYN3	4.6686140865818	4.56219594993843	4.80929083518124	4.46558558500447	4.4257971420918	4.5425030385491	4.68230990518161	4.59650451316201	4.54175221105282	4.46532090070245
SLC22A2	SLC22A2	4.87427926784814	4.96595360471614	4.77087668129049	4.8629002693971	4.63152656886027	4.69641575011698	4.47246030355771	4.72932979006559	4.99945161509856	4.85072222407009
SERPINF1	SERPINF1	8.88643590259843	8.15759735410167	9.78086842241622	11.7925305728558	7.51050257403276	11.5230764944824	10.1756951216611	11.0912114781194	8.65499191958071	7.95440072225066
WDR34	WDR34	9.00557503875507	8.29102648692632	8.20537177587963	7.56092472307804	8.89200641912837	8.54698274774486	9.11101815247107	7.52591371797597	7.9835657324745	8.28256247061506
OR7A17	OR7A17	4.7402875327996	4.66793661974397	4.61564377959447	4.43407841463643	4.54704866582192	4.46966206108072	4.62424047362613	4.58084624876625	4.29683332909435	4.40126039369887
C9orf11	C9orf11	3.19888202840844	3.19025662767746	3.25957475686419	3.12928773417568	3.10744362210299	3.13444668869857	3.04765647236079	3.25628226991325	3.14883124166172	3.2835527230888
LHB	LHB	6.11731921876349	5.94497874823968	6.13050992054028	5.76474253867177	5.79679228865725	5.62699933208012	6.06815979189847	5.90188865907625	5.8569852871837	6.00205201282212
TAOK3	TAOK3	6.04761370837555	5.93534402694205	6.33592621912714	6.84733974496127	6.08207268157461	6.60341366148824	6.55318479023699	6.66781840922836	6.91795847839433	6.6455768609429
STK25	STK25	7.6560423674896	8.2050044894323	7.7367386280078	7.76162477891082	7.96920029800368	8.56692863197349	8.71138834173886	8.11659604656616	8.57312188122886	8.90129274396608
LOC152573	LOC152573	4.50100290994903	4.70491637961113	4.73646366148661	4.95217566432338	4.65357438812052	4.70652320897221	4.59453043089347	4.72708212984998	4.50366017032063	4.49182325512021
C3orf39	C3orf39	7.1812969603437	7.33915313926011	7.26952023326676	6.9425413511618	7.58259533970487	7.62519089684177	7.49980976457322	7.08788427881693	6.585658174771	7.74350696144834
C14orf108	C14orf108	6.982583868805	6.94398429474394	7.45681160254255	7.21088459231682	6.83544482498273	6.9302924823778	7.1986078030918	6.79764411260189	7.33362981427896	7.90693563142909
CDC25B	CDC25B	9.71340990520739	8.08743451441799	7.97724681509478	8.82310917465282	8.16874219330905	9.0897633883586	9.38344603586517	8.1570724116822	8.14248743642944	8.98947635889547
BMP3	BMP3	4.56024605940784	4.57318834968651	4.51459307108524	4.21466240596834	4.2245886379762	4.279716271658	4.20743874002495	4.26171848255686	4.47214592241877	4.37703983901897
MAP1LC3C	MAP1LC3C	4.60304730601804	4.54564890776918	4.76223877093991	5.82971431660523	4.9392887466595	4.8358928299194	4.64008305137949	4.77976303142324	4.68039933825803	4.4925716672432
TMEM180	TMEM180	5.42827569355097	5.39090640973599	6.07469272294964	5.40080974600769	5.14882162387576	5.97284064350967	6.0732310548564	5.40136209557164	6.90018283709707	5.88360890702054
CRYGC	CRYGC	4.87953594959184	4.95186505044635	4.88848946436243	4.40300109793562	4.87064249920836	4.51643993693026	4.52022792427008	4.7541441418021	4.67589642649637	4.74149949236327
POU3F1	POU3F1	4.37280144121192	4.4826598983874	4.52469019952699	4.28212111865825	4.38467784296868	4.29136815977416	4.20194725429331	4.41480418594819	4.41729974728047	4.40801027071987
C20orf32	C20orf32	4.06392035375476	4.13325370798236	4.16740696661702	4.17403068573566	4.14931778693178	4.18196083279351	4.04739204748591	4.25638363616552	4.51016509977004	4.19881909605904
CCDC95	CCDC95	6.84713488222717	6.86428855705688	6.62519870197446	6.65899951336315	7.1688459228027	6.90430900606715	7.16361482204361	7.25437874678518	6.88076944941963	6.93828757969477
HIGD1B	HIGD1B	5.8666554312851	5.73126857974046	5.9559773502737	6.20070931526622	5.56448678191506	6.04502937719828	5.87060346466503	6.14190537360992	6.00455910010036	5.89391787759712
USP6NL	USP6NL	7.6629610299608	6.4377960039843	6.84254821405614	6.71463951051214	8.19830159815606	5.95575445256535	7.83099413570602	7.71635049030763	7.63442809804183	8.01571789617104
ABCD4	ABCD4	6.75321113731236	6.38816184620519	6.8134738461225	6.55072283419254	6.21366582333297	6.61865871612074	6.39634581841269	6.98806053913846	7.01835658067845	6.56255780410856
DIMT1L	DIMT1L	6.64802551291151	7.56237694660053	6.67722509353581	7.02909913908919	7.46818687033992	6.91408087648845	7.05412003704057	6.79826482459295	6.89742394824613	6.92267395212473
SLC25A46	SLC25A46	9.4724444373815	8.88614235104056	7.91246790719834	8.47913956396923	8.32639588314259	8.47701423735422	8.20407929497423	8.15853711603011	8.71125672646548	9.16055729545497
LARP7	LARP7	8.52727176815403	8.19177884229527	8.41318087029849	8.65687750686126	9.49540089835408	8.44413402586372	8.43300809665387	9.04562169899244	9.33076386739804	9.03150720345386
TEK	TEK	5.04566702142602	5.29374890810939	5.19990085073383	5.67035423707648	4.99469059676032	5.42722894313775	5.28971188733711	5.65742672877655	4.75284744181106	4.88839544499545
FLJ40296	FLJ40296	3.75783403182984	3.93328687744555	3.70924529049629	3.61282126388791	3.68565199915471	3.83905554795851	3.63535567071526	3.92761468021258	3.7127430813804	3.67682236163901
CD160	CD160	4.54221359636461	4.82964367684215	4.53598308545562	4.92471620143117	4.20368405207226	4.37246722988702	4.37082081345253	4.45091093845004	4.81717309527258	4.31247751249582
PHF20	PHF20	7.27892482081162	7.8167880729744	7.29169092481991	6.97642803578856	7.58834224017124	6.79722464696779	7.05027663317257	7.60537077324094	7.41963774439767	7.79234885918411
CPNE4	CPNE4	3.9950523561025	4.04053555197439	4.12084472081784	4.27244583272959	4.13878535058665	3.96660164484387	5.6722307658896	4.29253789231917	3.92674362180067	3.96145887965701
GTPBP1	GTPBP1	6.40890383142105	5.93833712055617	5.69773711362206	5.78815923116981	6.07213424011832	5.63139423457627	5.55545146363326	5.94516303289738	6.20627094946407	5.92097492292147
RAB33B	RAB33B	5.78103046989514	6.3241301304055	5.90819166518438	6.12702373576636	7.43774953288035	6.2586386326089	6.98194950021843	5.9585341308142	6.68417909206228	5.89522440594178
ALDOC	ALDOC	7.22973607983679	7.3643075480192	7.02427311697387	7.34605931884519	7.27634055019238	6.6084357720749	7.32884418042415	7.7199928591207	7.93360547846967	8.09530333039339
NUDT1	NUDT1	6.82456714793071	7.47121092799647	7.42344551801468	6.81327635139864	6.58447238157793	6.96820377044051	8.17627695451714	7.12724136737383	7.4330340840322	7.1258889055352
ZNF212	ZNF212	7.63171172766783	8.18510469161495	8.69385221237909	8.0281210576938	7.8948032415401	7.56325109465193	8.51434288688014	8.7896601999947	8.33220595400151	8.57902089399365
ZNF83	ZNF83	8.39021895384301	9.2189396476499	8.46067311174334	8.29142437133097	8.97639106178797	8.59598575874414	8.90004220699126	9.1356327348249	9.17228817033625	8.22564595392488
GDPD5	GDPD5	6.54317735173455	6.6093567540859	7.50565953879669	7.15081532240294	6.95332756977684	7.37774657390319	8.44018749799463	7.55029599016771	7.27125854886206	6.36465460760737
PDCD4	PDCD4	8.36045155200084	7.47038568496468	7.7785227519827	8.26638480476687	8.99880379484241	8.68594056323547	8.97409927251467	8.57752287336788	9.30563261775982	8.08627247315391
CEP350	CEP350	7.46993712561577	7.3298408098167	7.43604176119135	7.34493761924791	7.17067801246606	7.10262996677746	7.42660388062668	7.3127234504058	7.88293591483345	7.30691194275904
CST7	CST7	5.93978803867939	6.27548160176108	6.28979658207218	7.61387914641202	6.00060886206929	6.82084234024973	5.59202547984133	7.90454909037521	7.70704679752931	6.83745373712284
SELL	SELL	6.17951506547236	5.91830123065444	6.4684560013485	8.78153271144475	5.93188574702784	7.14839682608783	4.94392940468673	7.70991741260477	7.17532431296238	6.9741931220655
CIAO1	CIAO1	7.49635400089341	7.42671148845665	7.62542993774822	7.35546321110315	7.98869569361983	7.36161439929492	7.5191938700149	7.20048946854145	7.56051324844962	7.55656113192101
LTBP4	LTBP4	5.90225558644451	6.09378021722722	6.30818374477774	6.14093240709926	5.86513299326413	5.27677075545488	6.25744884690892	5.85107331747336	6.04533006839903	6.04732747319353
PWCR1	PWCR1	5.05089834928559	4.84358853064618	4.86335070190743	4.85596057588593	4.76418388845161	4.71515282897485	5.05882560983478	5.13928872440508	5.00846333075753	5.06798572825107
SIRT6	SIRT6	6.91957214328177	6.7499999189744	6.73405298477793	6.48836373180463	6.4710084458921	6.47824230313119	6.63259412464299	6.6284922647744	6.7204702504604	6.63492081029972
CCL19	CCL19	5.0116613223233	5.15220096311332	6.76300006641827	10.1423682378657	4.98619055493427	7.66850805047382	5.06723378138365	8.22976570591042	5.44891255268272	5.75184476355509
PPIL1	PPIL1	9.34170720478415	8.41728055820485	8.91604043960927	8.24732925185991	8.85816961811224	8.7294526096748	8.94694213840488	9.13230956511016	8.11064786114827	8.99035079145286
ABR	ABR	5.86083815251577	5.91328032469286	5.95987735875801	6.53745268160486	5.72275855293568	6.38789676308345	7.76821158929184	6.34559528705936	6.82882758521194	6.17166487493394
STK17A	STK17A	6.30315294023164	6.21762421803306	5.80714597257512	6.88903469304271	6.14282020538758	7.11191633112654	7.05728429989565	6.46522971349919	6.72826422314683	6.8956344468106
FOXE1	FOXE1	3.4282002843793	3.43248952512036	3.39358724229946	3.40025053879771	3.2924244303291	3.21729095697193	3.70651983648396	3.33232302353369	3.38469931481755	3.25625894314828
GML	GML	4.18799052030859	4.60412516228571	4.28421453829573	4.16655402811212	4.12187526350932	4.23098571295499	4.00359408442218	4.08088208365528	4.29523083623036	4.28720114663542
CNGA3	CNGA3	3.38621694673752	3.49899512601533	3.20840852278384	3.30425981664667	3.40610494226512	3.42278725332595	3.23864614176665	3.25242694215925	3.36509465742656	3.26546725510304
CD38	CD38	6.66010690944345	5.88867841361037	5.56400466287388	8.5466528766932	5.94898802917558	6.28329045574964	5.04877470818184	7.26527609103543	7.49485411995628	7.89053092298614
ZDHHC6	ZDHHC6	9.07605812422553	8.54028202332937	9.13662539456834	8.94210379146297	8.61981160375856	9.63069239355778	9.3785234767785	8.75548827170202	9.39919733275418	8.50879048041457
NEFH	NEFH	5.07232481572424	4.96861028566105	4.04282361567784	5.008838575802	4.21155429980238	6.42939831271817	9.36601905932666	4.78333939464634	5.21453731496093	6.60446556717899
PGBD5	PGBD5	5.35981697385225	9.1312512779734	5.44988539918945	5.97336113260197	5.55076310483934	5.29988811878233	5.73691200337686	5.64173040475625	8.26070652071886	5.44773794025518
CTDSP2	CTDSP2	9.62093169910567	9.0596449887869	9.34823917639883	9.22667133674459	8.7411852030828	9.42150706155467	9.6614000635035	8.9123875905841	9.66871459728898	10.0690611088769
CCNY	CCNY	7.55906113120916	7.5741480440247	8.2726666580304	7.26535622277005	6.92850021292852	7.50483995587039	7.71594010718846	7.59763397882057	7.41737315279794	7.34890735957384
RMND5B	RMND5B	7.5035809579659	7.18985727761935	8.21595506934428	7.15911605108314	7.15257435828904	7.35775347032339	6.7730480290543	7.50391451810952	7.51896740678553	8.00871481555824
ZNF257	ZNF257	4.79820528738907	3.94591832719827	3.39167521129746	5.36524433725575	5.04357420667893	4.6906524796808	5.5435903781603	6.20104762520379	3.72595085038259	4.79052051964405
FLJ22167	FLJ22167	7.95545338846483	9.38738104541943	7.67217496746264	7.04242220554982	8.75822351976752	6.75882025941816	7.2239557316663	7.58878713628563	7.60006613618624	8.2536635743722
EXOSC7	EXOSC7	9.23632695080098	8.44459232157417	8.11934581608678	8.4242972760736	9.67976635761937	8.80834883588474	8.43480878022748	8.77270933307569	8.74968113465597	8.68291734592131
ROR2	ROR2	5.85804418847208	5.19260436047522	5.810430818127	6.38342059001186	5.80843771149466	6.99531645562154	7.1713866483578	6.12072688406627	5.40788129623504	5.23081220122946
MAOA	MAOA	4.64322414581076	6.9737324828367	4.80925746583013	8.61444172281817	5.68590699483447	6.45902543224978	6.89187879961069	6.12807647193713	6.29407408666122	5.8615733048445
TNNT3	TNNT3	5.36573332554002	5.61475611723575	5.26230105743751	5.66746415268503	5.22407367733829	5.20606253424158	5.73112332820325	5.47471165459421	5.19216351064955	6.18320768669704
GYPC	GYPC	7.70301335090138	8.38531330080182	7.3408340364562	9.56480306683275	7.76148245042528	8.30929606898002	8.45496065372112	8.0634222382186	8.78472439543148	7.41773008218149
C7orf33	C7orf33	4.8886613218744	4.75454563658871	4.43824755914189	4.64242513494438	4.55397584847954	4.46573465873662	4.52222363949057	4.70062132039014	4.81706513539042	4.58305739546639
PLIN	PLIN	5.21729169665118	5.49740272249262	5.96344478961016	9.89366055846995	5.24952812765026	8.25292394488614	5.14931189415501	7.87515922865458	5.39245447825153	5.13890781325421
LOC90826	LOC90826	6.58477101399589	6.66623039694522	6.80892078478871	6.95089001395412	7.63840111136	6.569868932399	7.4367861265784	7.52087712824652	7.83091524378873	7.72426996354672
RNF4	RNF4	10.0011399664587	9.08095948205982	10.2562145924561	9.33548058792099	10.1390588466411	10.130923054411	9.44312339034611	9.55405679294425	9.84420234032239	9.12936100651221
F8A1	F8A1	8.75819382882828	9.15997893858196	9.55105705824963	8.66286815608363	8.85222726153467	8.94269919449471	9.12638529681015	8.73059337798778	8.7033193773522	10.1187351737645
PLEKHG4	PLEKHG4	7.33135325921334	7.8808601379147	8.49792186525485	6.9676568817292	6.89097058635456	7.51146071548678	8.5880039586954	7.9144303908633	7.05215640488618	7.81349048220355
GRB2	GRB2	9.19355363411322	8.73692221948964	9.23295794147356	9.28338231126644	9.13551750888096	8.7001428190788	9.05890700732858	8.72742412461515	9.56072488862458	9.25562796948703
DUS3L	DUS3L	7.03324318312652	6.77734291608483	5.93346689837184	6.10297013461662	6.4713392015856	5.86253284152327	6.33877473193767	6.23936471631975	5.95404850869292	5.87696914176031
RP5-1077B9.4	RP5-1077B9.4	8.0285257916839	7.55304718079534	7.89068185207645	7.46977656384122	7.29232584595939	7.42432137028154	7.4244868148518	8.0667747403471	7.94890562202217	7.68266546424581
EIF1	EIF1	11.9259462658863	11.2108263421887	11.6020565709187	12.0297285304753	11.5144483596211	11.679658561156	11.6146026914347	11.6637778452589	11.5803404662117	11.6158929364645
FPGT	FPGT	5.79788659300689	7.04379195019575	6.23386436732216	6.07746754678422	7.2083296303842	6.15032633767561	5.65822412427265	6.34960789690387	6.74013690577983	6.23427335983206
GDF10	GDF10	4.33809911717791	4.45705592786475	4.31340842125335	4.59265400722486	4.34773557214312	4.27809662742751	4.63967588643589	4.82195825350795	4.26597380322958	4.49146792607878
COQ9	COQ9	9.7272340221011	9.0253195485553	9.98027052098974	8.79098378565341	8.99022361688178	8.71312489566953	8.2518990050325	9.60112955480709	9.16703095764272	8.68576084559119
GCC2	GCC2	8.98853248899448	9.54018599175986	8.6199157963291	9.43519245897169	9.6032720437507	8.62163114967819	9.11356350164412	9.00956605086686	9.2683726618353	8.72220915333289
RARRES3	RARRES3	9.50231709655275	10.1242188319426	5.92490463240714	9.14889794389678	9.93999477102668	8.93761044049496	7.55054095654047	9.22498216892373	11.0956703380149	10.7198174384059
PLXNA1	PLXNA1	6.87530474282059	6.79764173805126	7.22068416317702	6.82953974301225	6.87464352905076	6.95583611479224	7.20751663856523	7.09980639470347	6.75911132186966	6.95114693326001
KIAA0100	KIAA0100	6.88918763586768	6.791859111287	7.33592308519869	7.16196143895038	7.05338817295577	6.94735584755294	6.93639576710571	7.0277064249054	6.9767646042135	7.39115022044417
FNDC1	FNDC1	8.17152592105687	7.97914421152421	8.26027336439331	9.72110263161643	7.1526863734704	10.5847455569603	9.30720762001778	9.24662159234831	8.31980578214753	5.50263359057992
PMF1	PMF1	7.46026177452475	7.81814846765937	7.87784353316999	7.09784551616948	7.25320030421292	6.86987704136295	7.16017272473508	7.727858357755	7.06418522127389	7.79397234943997
HS2ST1	HS2ST1	6.87909783657096	6.86916936548959	6.58011557868873	6.83778931040945	6.86001716057167	7.21798638388076	7.22150024349984	6.64071536956469	6.70579730991452	5.99104905622182
CRELD2	CRELD2	7.77377034836032	10.0294087294871	8.3713011348066	8.8761815487306	8.29848270919269	8.66989456039359	8.70767097780336	9.11961352404459	8.40469072716223	8.09101934460444
C8G	C8G	4.36916186364547	4.39153349308167	4.58003976471259	4.35455367479531	4.56225383872815	4.20045205085466	4.1674360630226	4.56538510565975	4.49616891776784	4.54831700212835
CD82	CD82	8.30507535759995	7.84611654191137	7.6006279992574	8.15296761082754	8.358514517854	7.54444650029907	7.1288302482576	7.78746052272526	8.58985878393817	8.62149712203756
LIM2	LIM2	4.67768104309404	4.61850996156588	4.74903363330234	4.26583405891657	4.35828364299942	4.55090633243324	4.63224253992562	4.665513751535	4.69914169727072	4.35138235569235
MMP16	MMP16	3.99854282927304	4.16157831871622	4.29332864866048	3.99245987299837	3.98780360660338	4.0495479677493	4.17994385618543	4.18711522627487	4.06554498606076	4.1065452095096
